clip_id,category,variant_label,source_subject,notes,path,bytes,sha256,source_url
20_08,walk,zombie_march_A,20,Explicit zombie march; two-person capture subject A,assets/animations/zombie_mocap/cmu/walk/zombie_march_A__20_08.fbx,109372,ae4c6b520c6833d4df6e1292fa165d0a081f70fe9c57960cdbbe9f5f3092be34,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/20_08.fbx
21_08,walk,zombie_march_B,21,Explicit zombie march; two-person capture subject B,assets/animations/zombie_mocap/cmu/walk/zombie_march_B__21_08.fbx,109372,3f53b1e5d16e6cc51be5d2237e317f340a85fa3f50708d60f8480c65a7733959,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/21_08.fbx
104_41,walk,zombie_walk,104,Explicit ZombieWalk,assets/animations/zombie_mocap/cmu/walk/zombie_walk__104_41.fbx,260028,afc5d3e22ea1b95c97970dbf26e3cacc7697a9d7bba66f576142f56c79995d65,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_41.fbx
104_42,walk,zombie_walk_figure8,104,Explicit ZombieWalk8,assets/animations/zombie_mocap/cmu/walk/zombie_walk_figure8__104_42.fbx,383148,541108f5df581213b2278b003be760f51de14853327515b90bfe4cb76ded775f,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_42.fbx
104_43,walk,zombie_walk_turns,104,Explicit ZombieWalkRightAngleTurns,assets/animations/zombie_mocap/cmu/walk/zombie_walk_turns__104_43.fbx,466140,abe414c74a527e4b63814ccf8cc05df465e35b9899b7cf6accd57aa17f2a20d9,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_43.fbx
120_22,walk,zombie_style,120,Explicit Zombie,assets/animations/zombie_mocap/cmu/walk/zombie_style__120_22.fbx,234348,0b06a391fad975237fb4aa056002373ad2243725e2cfb1a58026cfce39333e06,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/120_22.fbx
104_03,walk,frankenstein,104,Frankenstein male walk,assets/animations/zombie_mocap/cmu/walk/frankenstein__104_03.fbx,263724,dfac9e4cf64fd4583eb079d1762e4844041f7f3ad4bded0f11b24c4c7418ba36,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_03.fbx
104_13,walk,stumble,104,StumbleWalk,assets/animations/zombie_mocap/cmu/walk/stumble__104_13.fbx,150380,fd2fa978186ce1128bd51d292433f7b6d4e1a5fafc8764d8d50b66651a62a3c8,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_13.fbx
104_16,walk,spastic,104,SpasticWalk,assets/animations/zombie_mocap/cmu/walk/spastic__104_16.fbx,124172,8c80843badbd2340c07563de9f7a45da9e524579986a74a477c517898e6d6904,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_16.fbx
104_35,walk,slow,104,SlowWalk,assets/animations/zombie_mocap/cmu/walk/slow__104_35.fbx,206476,e0c9de411a503742260a93f567859ecead4bb29a26ee008693a9003dd933b038,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/104_35.fbx
105_05,walk,mummy,105,mummyWalk,assets/animations/zombie_mocap/cmu/walk/mummy__105_05.fbx,386444,6caa7f3cd74c32e992031da6309370eea434b47c3e6d690f3c5932915a55226d,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_05.fbx
105_09,walk,drunk,105,DrunkWalk,assets/animations/zombie_mocap/cmu/walk/drunk__105_09.fbx,699996,5e5dd5840e2a4ecb9d6db49863193113d6a11bdf6b1b914cbf3a0007123fa688,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_09.fbx
105_13,walk,sad,105,SadWalk,assets/animations/zombie_mocap/cmu/walk/sad__105_13.fbx,415692,a40392b17d5e47578632444d4d26488fb5c61af7e2e8c09cb209e1f0f3456a11,https://huggingface.co/datasets/gbionics/cmu-fbx/resolve/main/animations/105_13.fbx
